2024-01-15 10:22:58 | INFO     | trading_bot        | BinanceFuturesClient initialised (base_url=https://testnet.binancefuture.com)
2024-01-15 10:22:58 | INFO     | trading_bot.orders | Placing MARKET order: symbol=BTCUSDT side=BUY qty=0.001
2024-01-15 10:22:58 | INFO     | trading_bot.client | REQUEST  POST /fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001', 'timestamp': 1705312978412}
2024-01-15 10:22:59 | INFO     | trading_bot.client | RESPONSE POST /fapi/v1/order  status=200  body={"orderId":3847201938,"symbol":"BTCUSDT","status":"FILLED","clientOrderId":"web_5e8a2b9c4f1d","price":"0","avgPrice":"43215.60","origQty":"0.001","executedQty":"0.001","cumQty":"0.001","cumQuote":"43.2156","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","updateTime":1705312979003}
2024-01-15 10:22:59 | INFO     | trading_bot.orders | MARKET order placed successfully: orderId=3847201938 status=FILLED
2024-01-15 10:31:14 | INFO     | trading_bot        | BinanceFuturesClient initialised (base_url=https://testnet.binancefuture.com)
2024-01-15 10:31:14 | INFO     | trading_bot.orders | Placing LIMIT order: symbol=BTCUSDT side=SELL qty=0.001 price=50000 tif=GTC
2024-01-15 10:31:14 | INFO     | trading_bot.client | REQUEST  POST /fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': '0.001', 'price': '50000', 'timeInForce': 'GTC', 'timestamp': 1705313474881}
2024-01-15 10:31:15 | INFO     | trading_bot.client | RESPONSE POST /fapi/v1/order  status=200  body={"orderId":3847209714,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"web_7c3f91a2e08b","price":"50000","avgPrice":"0.00000","origQty":"0.001","executedQty":"0","cumQty":"0","cumQuote":"0","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","updateTime":1705313475220}
2024-01-15 10:31:15 | INFO     | trading_bot.orders | LIMIT order placed successfully: orderId=3847209714 status=NEW
2024-01-15 10:45:03 | INFO     | trading_bot        | BinanceFuturesClient initialised (base_url=https://testnet.binancefuture.com)
2024-01-15 10:45:03 | INFO     | trading_bot.orders | Placing STOP_LIMIT order: symbol=ETHUSDT side=BUY qty=0.01 price=2900 stopPrice=2950 tif=GTC
2024-01-15 10:45:03 | INFO     | trading_bot.client | REQUEST  POST /fapi/v1/order  params={'symbol': 'ETHUSDT', 'side': 'BUY', 'type': 'STOP', 'quantity': '0.01', 'price': '2900', 'stopPrice': '2950', 'timeInForce': 'GTC', 'timestamp': 1705314303559}
2024-01-15 10:45:04 | INFO     | trading_bot.client | RESPONSE POST /fapi/v1/order  status=200  body={"orderId":2193847562,"symbol":"ETHUSDT","status":"NEW","clientOrderId":"web_b4d710e3c9f2","price":"2900","avgPrice":"0.00000","origQty":"0.01","executedQty":"0","cumQty":"0","cumQuote":"0","timeInForce":"GTC","type":"STOP","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"2950","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"STOP","updateTime":1705314304102}
2024-01-15 10:45:04 | INFO     | trading_bot.orders | STOP_LIMIT order placed successfully: orderId=2193847562 status=NEW
2024-01-15 11:02:37 | INFO     | trading_bot        | BinanceFuturesClient initialised (base_url=https://testnet.binancefuture.com)
2024-01-15 11:02:37 | INFO     | trading_bot.orders | Placing MARKET order: symbol=ETHUSDT side=SELL qty=0.1
2024-01-15 11:02:37 | INFO     | trading_bot.client | REQUEST  POST /fapi/v1/order  params={'symbol': 'ETHUSDT', 'side': 'SELL', 'type': 'MARKET', 'quantity': '0.1', 'timestamp': 1705315357814}
2024-01-15 11:02:38 | ERROR    | trading_bot.client | API error code=-2019 msg=Margin is insufficient.
2024-01-15 11:02:38 | ERROR    | trading_bot        | API error: code=-2019 msg=Margin is insufficient.
2024-01-15 11:09:55 | INFO     | trading_bot        | BinanceFuturesClient initialised (base_url=https://testnet.binancefuture.com)
2024-01-15 11:09:55 | INFO     | trading_bot.orders | Placing LIMIT order: symbol=BTCUSDT side=BUY qty=0.002 price=41000 tif=GTC
2024-01-15 11:09:55 | INFO     | trading_bot.client | REQUEST  POST /fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': '0.002', 'price': '41000', 'timeInForce': 'GTC', 'timestamp': 1705315795302}
2024-01-15 11:09:56 | INFO     | trading_bot.client | RESPONSE POST /fapi/v1/order  status=200  body={"orderId":3847231045,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"web_a91c53e7820d","price":"41000","avgPrice":"0.00000","origQty":"0.002","executedQty":"0","cumQty":"0","cumQuote":"0","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","updateTime":1705315796041}
2024-01-15 11:09:56 | INFO     | trading_bot.orders | LIMIT order placed successfully: orderId=3847231045 status=NEW
